2025-01-30 13:42:09,489 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:10,302 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:11,179 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:11,946 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:12,683 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:13,762 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:14,298 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:15,027 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:15,672 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:16,319 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:17,659 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:18,568 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:19,165 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:19,758 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:20,329 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:20,974 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:21,705 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:22,923 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:23,394 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:24,536 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:25,097 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:25,798 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:26,315 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:26,818 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:27,517 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:27,970 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:29,095 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:30,136 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:30,608 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:31,156 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:31,721 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:32,451 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:32,987 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:33,713 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:34,852 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:35,480 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:36,104 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:36,886 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:37,614 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:38,217 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:38,940 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:39,303 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:39,927 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:40,813 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:41,184 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:41,879 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:42,548 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:43,447 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:44,086 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:45,000 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:45,800 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:46,377 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:47,389 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:47,907 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:48,371 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:49,038 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:49,916 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:50,644 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:51,153 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:51,753 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:52,469 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:53,041 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:53,492 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:54,158 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:54,693 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:55,203 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:56,078 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:57,120 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:57,870 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:58,104 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:58,390 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:58,884 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:59,536 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:00,726 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:01,096 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:02,063 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:02,782 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:03,360 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:04,342 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:43:04,854 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
